loan_id,customer_id,origination_date,maturity_date,region,country,industry,customer_segment,loan_product,loan_amount,outstanding_balance,interest_rate,term_months,credit_score,annual_revenue_m,collateral_value,ltv,debt_service_coverage_ratio,payment_status,days_past_due,risk_score,risk_bucket,default_flag
L100019,C1259,2025-07-07,2027-07-07,Asia-Pacific,Singapore,Energy,SME,Equipment Finance,432918.04,388201.59,0.0955,24,641.0,7.07,624826.04,0.621,1.35,Current,0,41.1,Moderate,0
L100020,C1233,2024-02-28,2026-02-28,Asia-Pacific,China,Healthcare,SME,Equipment Finance,241132.97,74042.86,0.0775,24,661.0,10.72,256113.49,0.289,1.47,Current,0,28.9,Low,0
L100021,C1259,2025-04-02,2029-04-02,Europe,Germany,Construction,Mid-Market,Leasing,2167266.29,1847759.52,0.0815,48,650.0,110.8,2356529.53,0.784,1.88,Default,230,95.0,High,1
L100022,C1097,2025-11-08,2029-11-08,Latin America,Chile,Technology,Enterprise,Project Finance,8197066.32,8003922.29,0.0559,48,702.0,546.26,12020777.16,0.666,1.8,Current,0,24.0,Low,0
L100023,C1309,2025-02-17,2028-02-17,Middle East & Africa,United Arab Emirates,Transportation,Enterprise,Project Finance,8733475.91,7584157.66,0.0749,36,742.0,606.13,10560528.59,0.718,1.5,Grace Period,15,31.6,Low,0
L100024,C1071,2025-10-17,2028-10-17,Asia-Pacific,India,Healthcare,Enterprise,Working Capital,5291444.11,4966037.78,0.032,36,742.0,954.51,5822640.21,0.853,1.9,Current,0,34.8,Low,0
L100025,C1182,2023-01-26,2026-01-26,North America,Mexico,Manufacturing,SME,Leasing,188704.67,46420.74,0.0772,36,674.0,2.76,303560.04,0.153,1.28,Grace Period,23,35.1,Moderate,0
L100026,C1142,2023-07-27,2028-07-27,Europe,Germany,Energy,SME,Working Capital,170578.14,124417.3,0.0893,60,712.0,25.88,126905.65,0.98,1.93,Current,0,51.8,Moderate,0
L100027,C1289,2024-11-19,2029-11-19,North America,Canada,Public Sector,Mid-Market,Working Capital,257674.74,220529.52,0.032,60,773.0,42.21,262122.28,0.841,1.58,Current,0,30.3,Low,0
L100028,C1096,2024-08-19,2028-08-19,North America,United States,Transportation,SME,Equipment Finance,295408.08,217988.95,0.086,48,595.0,4.42,381358.72,0.572,1.38,Current,0,49.4,Moderate,0
L100029,C1078,2023-05-09,2026-05-09,Asia-Pacific,Singapore,Healthcare,SME,Leasing,103240.47,59130.81,0.0501,36,708.0,2.59,101158.84,0.585,1.47,Current,0,20.4,Low,0
L100030,C1307,2025-02-23,2028-02-23,Asia-Pacific,Australia,Construction,SME,Project Finance,931931.45,742804.56,0.1171,36,659.0,2.64,1503294.67,0.494,1.1,Grace Period,19,47.0,Moderate,0
L100031,C1185,2023-03-19,2026-03-19,Latin America,Chile,Manufacturing,SME,Equipment Finance,416513.6,188016.49,0.1005,36,654.0,10.06,725189.62,0.259,1.13,Current,0,42.6,Moderate,0
L100032,C1273,2025-12-01,2029-12-01,Europe,Germany,Energy,Mid-Market,Working Capital,453921.73,444843.3,0.0691,48,708.0,236.98,453740.17,0.98,1.3,Current,0,59.1,Elevated,0
L100033,C1333,2023-06-24,2025-06-24,Europe,Germany,Energy,Enterprise,Leasing,2454314.78,196345.18,0.0486,24,662.0,337.68,3951538.73,0.05,1.98,Current,0,32.0,Low,0
L100034,C1317,2024-05-11,2028-05-11,Europe,Netherlands,Retail,SME,Leasing,380805.77,295701.08,0.0759,48,716.0,6.82,352770.93,0.838,1.11,Grace Period,6,50.8,Moderate,0
L100035,C1151,2025-06-14,2032-06-14,North America,United States,Construction,Mid-Market,Equipment Finance,501548.47,468427.09,0.0749,84,702.0,66.48,880554.6,0.532,1.7,Current,0,27.5,Low,0
L100036,C1065,2024-07-14,2028-07-14,North America,United States,Transportation,Enterprise,Working Capital,2147610.43,1633027.76,0.0711,48,689.0,892.42,2806817.33,0.582,1.69,Current,0,28.1,Low,0
L100037,C1364,2025-03-23,2031-03-23,Europe,Netherlands,Manufacturing,Enterprise,Project Finance,9628011.92,8804156.06,0.032,72,714.0,1899.58,10212891.17,0.862,1.64,Current,0,40.2,Moderate,0
L100038,C1117,2025-02-08,2028-02-08,North America,Canada,Manufacturing,Enterprise,Equipment Finance,1233747.72,1015933.9,0.0337,36,671.0,1232.49,1813190.13,0.56,1.86,Late 60,97,56.6,Elevated,0
L100039,C1292,2025-11-11,2028-11-11,Asia-Pacific,Australia,Transportation,Mid-Market,Leasing,1081434.8,1047292.6,0.0731,36,678.0,50.02,1620772.85,0.646,1.39,Current,0,36.3,Moderate,0
L100040,C1292,2024-05-02,2031-05-02,Europe,Netherlands,Healthcare,Enterprise,Equipment Finance,1313662.72,1081098.8,0.032,84,,666.22,1654524.33,0.653,1.61,Current,0,18.8,Low,0
L100041,C1168,2025-12-10,2029-12-10,Middle East & Africa,Saudi Arabia,Retail,SME,Equipment Finance,304940.35,298841.54,0.1192,48,610.0,8.12,391944.05,0.762,0.94,Late 60,87,96.3,High,0
L100042,C1062,2024-07-03,2029-07-03,Asia-Pacific,Australia,Construction,Mid-Market,Trade Finance,320830.27,251054.51,0.0806,60,712.0,57.28,440092.37,0.57,1.53,Grace Period,28,26.3,Low,0
L100043,C1179,2025-09-17,2032-09-17,Europe,Germany,Technology,SME,Leasing,561584.32,546157.99,0.0419,84,730.0,2.79,567380.17,0.963,1.79,Current,0,44.5,Moderate,0
L100044,C1055,2025-03-26,2030-03-26,Middle East & Africa,United Arab Emirates,Construction,Mid-Market,Leasing,371537.46,339968.94,0.0853,60,681.0,35.35,367323.47,0.926,1.32,Current,0,61.8,Elevated,0
L100045,C1133,2023-05-14,2027-05-14,Asia-Pacific,China,Retail,Mid-Market,Equipment Finance,372170.41,263872.94,0.0733,48,680.0,118.19,449341.42,0.587,1.38,Current,0,32.9,Low,0
L100046,C1145,2024-12-26,2028-12-26,Europe,Netherlands,Technology,SME,Trade Finance,229265.87,184174.33,0.0458,48,698.0,11.95,333798.45,0.552,1.57,Current,0,21.1,Low,0
L100047,C1196,2025-08-28,2027-08-28,North America,Canada,Transportation,Enterprise,Equipment Finance,2728706.54,2402162.17,0.0683,24,721.0,422.04,3533536.95,0.68,1.5,Current,0,28.6,Low,0
L100048,C1070,2023-05-02,2026-05-02,Asia-Pacific,China,Retail,SME,Working Capital,75024.37,34086.14,0.1025,36,619.0,6.47,79564.74,0.428,0.78,Late 30,59,77.4,High,0
L100049,C1321,2025-07-15,2027-07-15,North America,United States,Energy,SME,Equipment Finance,442877.77,376764.52,0.0973,24,639.0,11.55,516655.86,0.729,1.41,Grace Period,28,48.5,Moderate,0
L100050,C1029,2023-04-15,2029-04-15,North America,Mexico,Retail,SME,Equipment Finance,102847.94,75456.72,0.086,72,649.0,1.91,119877.42,0.629,1.55,Current,0,34.7,Low,0
L100051,C1374,2025-08-11,2030-08-11,North America,Mexico,Manufacturing,Mid-Market,Working Capital,292248.72,275511.69,0.0523,60,713.0,43.98,341299.29,0.807,1.57,Current,0,36.0,Moderate,0
L100052,C1118,2025-05-24,2029-05-24,Asia-Pacific,India,Transportation,SME,Equipment Finance,233853.39,208298.35,0.0989,48,658.0,19.22,257538.4,0.809,1.75,Late 60,103,76.8,High,0
L100053,C1186,2023-06-12,2026-06-12,Asia-Pacific,China,Construction,Mid-Market,Working Capital,848876.72,258055.21,0.1006,36,690.0,69.83,1002422.0,0.257,1.0,Late 30,59,62.0,Elevated,0
L100054,C1332,2025-03-02,2030-03-02,Asia-Pacific,Singapore,Transportation,SME,Equipment Finance,692073.84,639206.36,0.1026,60,600.0,2.73,913901.77,0.699,1.09,Late 30,35,80.4,High,0
L100055,C1248,2023-05-16,2029-05-16,Asia-Pacific,India,Technology,Enterprise,Working Capital,3616664.29,2586512.74,0.046,72,770.0,516.2,4280152.87,0.604,1.71,Current,0,17.1,Low,0
L100056,C1021,2024-09-06,2028-09-06,Europe,United Kingdom,Transportation,Public Sector,Project Finance,3799024.04,3258852.38,0.047,48,734.0,433.27,4506771.23,0.723,1.99,Current,0,30.7,Low,0
L100057,C1229,2025-10-10,2029-10-10,Europe,Netherlands,Manufacturing,Mid-Market,Working Capital,130423.42,124396.83,0.0556,48,801.0,11.96,171446.69,0.726,1.07,Current,0,40.8,Moderate,0
L100058,C1215,2023-08-15,2029-08-15,North America,Mexico,Energy,Mid-Market,Equipment Finance,1215798.98,893161.86,0.0599,72,681.0,64.7,1290773.81,0.692,1.71,Current,0,34.4,Low,0
L100059,C1354,2023-07-21,2029-07-21,North America,Mexico,Energy,Enterprise,Working Capital,4476632.99,3394930.91,0.049,72,740.0,381.03,6043333.6,0.562,1.62,Current,0,21.6,Low,0
L100060,C1213,2024-04-08,2030-04-08,Asia-Pacific,Australia,Transportation,Public Sector,Trade Finance,2984024.46,2342636.65,0.0485,72,,83.1,3286890.66,0.713,1.24,Late 60,73,66.0,Elevated,0
L100061,C1377,2024-02-11,2028-02-11,Europe,France,Technology,Mid-Market,Equipment Finance,1267716.35,908653.52,0.032,48,720.0,61.02,1333519.27,0.681,1.75,Current,0,22.0,Low,0
L100062,C1201,2023-02-02,2026-02-02,Europe,France,Energy,Enterprise,Equipment Finance,1739962.96,901472.12,0.032,36,725.0,441.05,2508684.37,0.359,1.45,Current,0,24.2,Low,0
L100063,C1073,2024-05-11,2028-05-11,Asia-Pacific,China,Retail,Public Sector,Project Finance,3061683.53,2298239.58,0.0541,48,698.0,226.59,3270691.42,0.703,1.75,Current,0,31.8,Low,0
L100064,C1192,2023-10-17,2027-10-17,Asia-Pacific,Australia,Healthcare,Enterprise,Equipment Finance,10648167.19,8074143.02,0.032,48,805.0,386.78,14528384.26,0.556,1.43,Current,0,19.3,Low,0
L100065,C1348,2023-05-18,2029-05-18,Europe,United Kingdom,Technology,Mid-Market,Working Capital,234374.87,153426.82,0.0366,72,669.0,30.79,300406.63,0.511,1.82,Current,0,26.3,Low,0
L100066,C1006,2023-10-09,2025-10-09,Europe,France,Healthcare,SME,Working Capital,92271.57,18880.81,0.054,24,699.0,2.23,117522.61,0.161,2.06,Grace Period,23,20.0,Low,0
L100067,C1151,2023-01-02,2028-01-02,Europe,United Kingdom,Manufacturing,SME,Equipment Finance,563969.91,320560.73,0.0671,60,654.0,3.58,829198.87,0.387,1.58,Grace Period,14,31.7,Low,0
L100068,C1018,2025-09-17,2031-09-17,North America,United States,Construction,Mid-Market,Leasing,566064.23,541934.57,0.0872,72,675.0,98.81,924611.54,0.586,0.85,Current,0,50.6,Moderate,0
L100069,C1319,2025-12-19,2032-12-19,Europe,France,Technology,Mid-Market,Working Capital,268595.63,263223.72,0.0468,84,659.0,67.02,276066.17,0.953,1.78,Current,0,54.7,Moderate,0
L100070,C1194,2024-02-03,2029-02-03,North America,United States,Manufacturing,Mid-Market,Equipment Finance,2351209.76,1827215.39,0.0502,60,755.0,55.57,2467691.73,0.74,1.58,Current,0,29.4,Low,0
L100071,C1272,2025-08-15,2032-08-15,Europe,Netherlands,Retail,Mid-Market,Project Finance,2342701.64,2279974.79,0.0603,84,681.0,30.44,3548182.96,0.643,1.3,Current,0,36.6,Moderate,0
L100072,C1367,2024-05-03,2026-05-03,Middle East & Africa,United Arab Emirates,Public Sector,Mid-Market,Equipment Finance,776671.37,416287.31,0.032,24,676.0,46.0,921109.26,0.452,1.87,Current,0,20.5,Low,0
L100073,C1316,2025-09-13,2029-09-13,North America,Mexico,Construction,Enterprise,Leasing,1338492.46,1250116.76,0.063,48,762.0,758.11,1381563.95,0.905,1.75,Current,0,47.1,Moderate,0
L100074,C1155,2023-07-18,2025-07-18,North America,United States,Public Sector,SME,Project Finance,1980297.65,158423.81,0.0342,24,671.0,7.52,1886248.25,0.084,1.61,Current,0,21.4,Low,0
L100075,C1355,2023-11-21,2030-11-21,North America,United States,Retail,SME,Equipment Finance,321867.17,249887.13,0.0769,84,673.0,4.09,407459.68,0.613,0.96,Current,0,45.0,Moderate,0
L100076,C1179,2025-03-20,2031-03-20,North America,Mexico,Healthcare,Enterprise,Project Finance,12500000.0,11656491.59,0.032,72,779.0,95.08,14307740.32,0.815,1.33,Current,0,37.5,Moderate,0
L100077,C1371,2023-08-22,2025-08-22,Asia-Pacific,India,,Enterprise,Equipment Finance,5824556.66,2434567.78,0.0594,24,740.0,315.89,7263680.25,0.335,1.33,Current,0,28.2,Low,0
L100078,C1373,2025-06-07,2027-06-07,Europe,Germany,Transportation,Public Sector,Leasing,1244398.63,965107.45,0.0507,24,651.0,170.51,1673585.13,0.577,1.88,Current,0,34.9,Low,0
L100079,C1084,2024-04-24,2028-04-24,Asia-Pacific,China,Energy,Enterprise,Equipment Finance,2576081.86,2058090.92,0.0596,48,754.0,273.52,4079629.11,0.504,1.41,Default,221,70.2,Elevated,1
L100080,C1296,2024-03-10,2027-03-10,Asia-Pacific,Singapore,Energy,Enterprise,Working Capital,4414087.24,2673290.13,0.0767,36,724.0,371.53,6106117.4,0.438,1.29,Grace Period,13,28.4,Low,0
L100081,C1265,2024-05-11,2030-05-11,Europe,Germany,Manufacturing,SME,Project Finance,1410594.73,1191613.34,0.0858,72,659.0,9.12,1369035.17,0.87,1.66,Late 60,73,78.8,High,0
L100082,C1292,2025-05-23,2028-05-23,Asia-Pacific,India,Transportation,Mid-Market,Project Finance,603675.23,532999.0,0.0692,36,686.0,56.67,611394.05,0.872,1.56,Current,0,48.8,Moderate,0
L100083,C1063,2023-01-10,2029-01-10,North America,Canada,Construction,SME,Trade Finance,291899.81,191997.03,0.0981,72,589.0,10.16,391841.02,0.49,1.33,Current,0,53.6,Moderate,0
L100084,C1191,2025-04-03,2030-04-03,North America,Mexico,Construction,Mid-Market,Working Capital,496866.01,437017.08,0.0753,60,689.0,22.77,445757.42,0.98,1.57,Default,203,100.0,High,1
L100085,C1057,2025-05-21,2029-05-21,North America,United States,Healthcare,Public Sector,Project Finance,2280319.5,2004170.46,0.032,48,707.0,190.36,2686383.32,0.746,1.99,Current,0,28.6,Low,0
L100086,C1341,2025-06-19,2028-06-19,Asia-Pacific,China,Energy,SME,Leasing,284989.31,251508.46,0.089,36,653.0,1.65,389983.41,0.645,1.02,Late 30,57,67.4,Elevated,0
L100087,C1331,2025-12-17,2032-12-17,Europe,Germany,Technology,Mid-Market,Trade Finance,287986.31,282226.58,0.032,84,719.0,44.52,427777.39,0.66,1.64,Current,0,20.5,Low,0
L100088,C1220,2025-05-05,2030-05-05,North America,United States,Technology,SME,Working Capital,136994.38,122724.7,0.0611,60,722.0,2.88,125179.19,0.98,1.35,Late 60,84,79.1,High,0
L100089,C1049,2024-08-18,2028-08-18,Europe,France,Retail,SME,Project Finance,380083.84,293553.92,0.0891,48,629.0,12.17,532493.34,0.551,0.89,Late 30,40,72.8,Elevated,0
L100090,C1249,2024-05-06,2028-05-06,North America,Canada,Retail,SME,Equipment Finance,244311.01,182358.99,0.0653,48,715.0,7.09,367542.03,0.496,1.26,Current,0,29.7,Low,0
L100091,C1166,2024-02-16,2030-02-16,Asia-Pacific,India,Retail,SME,Leasing,234905.05,183368.86,0.0788,72,696.0,10.32,362860.67,0.505,1.63,Current,0,25.6,Low,0
L100092,C1299,2025-06-15,2031-06-15,Europe,Netherlands,Public Sector,Public Sector,Working Capital,684950.78,651680.89,0.032,72,750.0,176.25,664714.51,0.98,2.5,Current,0,41.4,Moderate,0
L100093,C1037,2024-03-22,2030-03-22,Europe,Germany,Retail,Mid-Market,Equipment Finance,2413675.14,2098928.02,0.0646,72,650.0,30.82,3819807.21,0.549,1.74,Current,0,33.8,Low,0
L100094,C1154,2024-09-28,2029-09-28,Europe,Netherlands,Technology,Enterprise,Equipment Finance,4617621.32,3682833.99,0.032,60,690.0,250.09,7314311.7,0.504,1.9,Grace Period,9,22.5,Low,0
L100095,C1137,2023-04-06,2029-04-06,Asia-Pacific,Singapore,Manufacturing,Enterprise,Trade Finance,6384282.25,4467521.46,0.0393,72,746.0,565.87,6891168.13,0.648,2.02,Current,0,22.0,Low,0
L100096,C1362,2023-12-04,2027-12-04,Europe,France,Manufacturing,SME,Leasing,223138.47,168603.38,0.0572,48,644.0,16.9,304777.78,0.553,1.22,Current,0,42.1,Moderate,0
L100097,C1113,2023-10-16,2028-10-16,North America,United States,Healthcare,SME,Equipment Finance,237465.61,181345.11,0.0504,60,,7.1,362460.75,0.5,1.37,Current,0,20.9,Low,0
L100098,C1375,2024-04-27,2028-04-27,North America,Mexico,Energy,Enterprise,Equipment Finance,9618193.76,6185457.69,0.0433,48,702.0,380.48,,0.525,1.94,Current,0,24.8,Low,0
L100099,C1350,2024-07-05,2029-07-05,Latin America,Colombia,Manufacturing,SME,Leasing,175101.23,140091.95,0.0959,60,638.0,4.89,216924.16,0.646,1.26,Grace Period,19,44.2,Moderate,0
L100100,C1223,2025-02-14,2032-02-14,Middle East & Africa,Saudi Arabia,Retail,Public Sector,Working Capital,1113169.09,1015914.71,0.0557,84,745.0,225.58,1120775.7,0.906,1.51,Late 30,35,63.2,Elevated,0
L100101,C1066,2024-04-12,2031-04-12,Asia-Pacific,India,Manufacturing,SME,Trade Finance,322197.78,287536.65,0.0753,84,646.0,19.32,476895.3,0.603,1.54,Current,0,33.4,Low,0
L100102,C1084,2023-06-09,2027-06-09,North America,Mexico,Retail,Mid-Market,Trade Finance,307291.9,147139.86,0.051,48,692.0,124.62,276722.02,0.532,1.45,Current,0,28.9,Low,0
L100103,C1006,2024-08-19,2029-08-19,Latin America,Chile,Construction,Enterprise,Working Capital,2882013.98,2249197.21,0.0976,60,751.0,563.95,3042743.78,0.739,0.98,Late 60,107,76.6,High,0
L100104,C1294,2023-02-09,2029-02-09,Asia-Pacific,India,Transportation,SME,Working Capital,251847.89,174711.07,0.1019,72,662.0,5.89,206075.95,0.848,0.96,Current,0,66.5,Elevated,0
L100105,C1275,2025-07-14,2032-07-14,Asia-Pacific,Australia,Transportation,SME,Equipment Finance,681659.1,655856.19,0.0981,84,663.0,6.62,1025986.57,0.639,1.36,Late 30,45,57.2,Elevated,0
L100106,C1122,2025-04-24,2030-04-24,Europe,Germany,Healthcare,Public Sector,Project Finance,6957838.12,6234379.65,0.032,60,767.0,312.48,9812476.62,0.635,2.26,Current,0,17.4,Low,0
L100107,C1277,2023-09-11,2025-09-11,North America,Canada,Transportation,SME,Equipment Finance,693886.53,86721.86,0.108,24,594.0,4.26,968557.96,0.09,1.76,Late 60,90,73.2,Elevated,0
L100108,C1219,2023-10-01,2027-10-01,North America,United States,Manufacturing,Mid-Market,Equipment Finance,909065.62,535693.11,0.0356,48,719.0,34.37,1296802.25,0.413,1.55,Current,0,20.0,Low,0
L100109,C1310,2023-01-25,2029-01-25,Middle East & Africa,Saudi Arabia,Retail,Mid-Market,Trade Finance,381965.5,227200.74,0.0791,72,698.0,109.99,434024.97,0.523,1.31,Grace Period,9,31.4,Low,0
L100110,C1032,2024-02-08,2029-02-08,Europe,Netherlands,Healthcare,SME,Project Finance,2053494.34,1528072.8,0.05,60,717.0,5.58,2330699.67,0.656,2.05,Current,0,19.6,Low,0
L100111,C1075,2023-02-22,2028-02-22,North America,United States,Energy,Enterprise,Equipment Finance,1430883.34,984399.71,0.0378,60,751.0,864.37,2259132.7,0.436,1.9,Current,0,21.6,Low,0
L100112,C1306,2025-10-22,2030-10-22,Europe,Germany,Construction,Enterprise,Working Capital,834068.99,808666.18,0.0708,60,706.0,1331.96,824839.5,0.98,1.5,Current,0,56.9,Elevated,0
L100113,C1140,2023-05-15,2027-05-15,Europe,Netherlands,Transportation,Mid-Market,Leasing,1008837.72,509225.49,0.0603,48,729.0,80.1,1491695.18,0.341,1.12,Current,0,33.7,Low,0
L100114,C1364,2024-12-03,2028-12-03,North America,United States,Technology,Enterprise,Equipment Finance,8901923.17,7668863.91,0.032,48,734.0,599.49,13453119.4,0.57,1.61,Grace Period,6,17.1,Low,0
L100115,C1334,2024-09-27,2030-09-27,Middle East & Africa,United Arab Emirates,Transportation,SME,Equipment Finance,364403.03,324141.24,0.1169,72,667.0,40.0,613420.03,0.528,0.89,Current,0,49.2,Moderate,0
L100116,C1035,2023-09-20,2027-09-20,Asia-Pacific,Singapore,Manufacturing,SME,Equipment Finance,582842.59,343342.19,0.0693,48,660.0,6.25,708217.0,0.485,1.4,Late 30,44,52.5,Moderate,0
L100117,C1153,2025-06-12,2030-06-12,Asia-Pacific,China,Transportation,Mid-Market,Leasing,228426.46,212792.13,0.0669,60,708.0,29.5,292302.33,0.728,1.29,Current,0,40.1,Moderate,0
L100118,C1278,2023-04-24,2028-04-24,Europe,Netherlands,Energy,Public Sector,Leasing,1259908.64,745074.99,0.0399,60,726.0,193.2,1170760.19,0.636,2.4,Current,0,22.9,Low,0
L100119,C1051,2025-08-23,2031-08-23,Asia-Pacific,India,Energy,SME,Leasing,82578.49,79938.58,0.0904,72,727.0,14.39,130835.7,0.611,0.89,Current,0,38.8,Moderate,0
L100120,C1327,2025-03-22,2029-03-22,Europe,United Kingdom,Manufacturing,SME,Equipment Finance,513350.76,455492.65,0.0632,48,749.0,2.47,783652.31,0.581,1.19,Current,0,29.2,Low,0
L100121,C1037,2024-11-05,2029-11-05,Asia-Pacific,Australia,Healthcare,Mid-Market,Trade Finance,256796.75,226082.03,0.0414,60,748.0,36.38,351081.33,0.644,1.78,Current,0,18.1,Low,0
L100122,C1041,2025-08-18,2028-08-18,North America,Mexico,Healthcare,Enterprise,Working Capital,909194.26,821671.1,0.032,36,806.0,953.15,1117869.71,0.735,1.93,Current,0,25.4,Low,0
L100123,C1206,2024-03-09,2027-03-09,Europe,Germany,Technology,SME,Project Finance,813740.28,456232.49,0.0692,36,623.0,4.65,905893.63,0.504,0.93,Late 60,105,78.7,High,0
L100124,C1093,2023-11-03,2027-11-03,North America,United States,Manufacturing,Mid-Market,Equipment Finance,1794210.03,1219332.07,0.0598,48,650.0,54.17,2642683.34,0.461,1.16,Current,0,42.5,Moderate,0
L100125,C1242,2023-06-10,2025-06-10,Europe,Germany,Manufacturing,Enterprise,Working Capital,1739742.18,389706.42,0.0393,24,724.0,933.81,2228072.91,0.175,1.59,Current,0,19.8,Low,0
L100126,C1148,2025-10-03,2032-10-03,Europe,Netherlands,Technology,Mid-Market,Project Finance,2495757.77,2445842.61,0.05,84,715.0,37.19,2494759.46,0.98,2.15,Current,0,46.8,Moderate,0
L100127,C1102,2024-03-03,2030-03-03,North America,United States,Manufacturing,SME,Equipment Finance,445963.96,351290.2,0.0731,72,664.0,2.21,775581.57,0.453,1.98,Current,0,29.9,Low,0
L100128,C1317,2025-06-21,2027-06-21,North America,United States,Construction,SME,Equipment Finance,288118.95,219481.65,0.0922,24,588.0,2.32,486608.45,0.451,1.16,Current,0,58.2,Elevated,0
L100129,C1060,2023-12-15,2029-12-15,Europe,France,Retail,Mid-Market,Equipment Finance,513645.23,384034.14,0.0503,72,736.0,83.19,894905.66,0.429,1.55,Current,0,21.2,Low,0
L100130,C1187,2025-11-12,2029-11-12,North America,United States,Technology,Mid-Market,Equipment Finance,1344932.36,1317265.58,0.032,48,795.0,68.11,2187211.56,0.602,1.53,Current,0,17.6,Low,0
L100131,C1064,2025-08-06,2030-08-06,Latin America,Brazil,Retail,Enterprise,Leasing,3712438.21,3507724.61,0.077,60,773.0,312.43,4160653.2,0.843,1.59,Late 30,41,57.1,Elevated,0
L100132,C1052,2023-12-22,2029-12-22,Europe,France,Manufacturing,Mid-Market,Equipment Finance,1627818.64,1331712.86,0.0433,72,745.0,28.28,2370375.14,0.562,2.08,Late 30,42,37.8,Moderate,0
