lender_key,lender_name,lender_city,lender_state
239,"Centerstone SBA Lending, Inc.",Los Angeles,CA
240,Centier Bank,Whiting,IN
241,Centra CU,Columbus,IN
242,Central Bank,Provo,UT
243,Central Bank,Storm Lake,IA
244,Central Bank,Tampa,FL
245,Central Bank & Trust Co.,Lexington,KY
246,Central National Bank,Junction City,KS
247,Central Pacific Bank,Honolulu,HI
248,Central State Bank,Calera,AL
249,Central State Bank,Elkader,IA
250,Central Virginia FCU,Lynchburg,VA
251,Centris FCU,Omaha,NE
252,Century Bank,Santa Fe,NM
253,Century Bank and Trust,Coldwater,MI
254,Charlevoix State Bank,Charlevoix,MI
255,Charter Bank,Johnston,IA
256,Chelsea State Bank,Chelsea,MI
257,Chemung Canal Trust Company,Elmira,NY
258,Choice Financial Group,Fargo,ND
259,ChoiceOne Bank,Sparta,MI
260,Ciera Bank,Graham,TX
261,"Citibank, N.A.",Sioux Falls,SD
262,Citizens & Northern Bank,Wellsboro,PA
263,Citizens Alliance Bank,Clara City,MN
264,Citizens Bank,Elizabethton,TN
265,Citizens Bank,Mukwonago,WI
266,Citizens Bank & Trust,Guntersville,AL
267,Citizens Bank & Trust Co,Hutchinson,MN
268,Citizens Bank & Trust Company,Plaquemine,LA
269,Citizens Bank Minnesota,New Ulm,MN
270,"Citizens Bank of West Virginia, Inc",Elkins,WV
271,"Citizens Bank, National Association",Abilene,TX
272,"Citizens Bank, National Association",Providence,RI
273,Citizens Business Bank,Ontario,CA
274,Citizens Community Federal National Association,Altoona,WI
275,Citizens First Bank,Clinton,IA
276,Citizens National Bank of Cheboygan,Cheboygan,MI
277,Citizens National Bank of Texas,Waxahachie,TX
278,Citizens Progressive Bank,Winnsboro,LA
279,Citizens State Bank,Hudson,WI
280,Citizens State Bank of La Crosse,La Crosse,WI
281,Citizens State Bank of New Castle,New Castle,IN
282,City & County CU,Saint Paul,MN
283,City Bank & Trust Co.,Lincoln,NE
284,"City First Bank, National Association",Washington,DC
285,City National Bank,Los Angeles,CA
286,City National Bank of Florida,Miami,FL
287,City State Bank,Norwalk,IA
288,Civista Bank,Sandusky,OH
289,"Clare Bank, National Association",Platteville,WI
290,Clear Lake Bank & Trust Company,Clear Lake,IA
291,"Clear Mountain Bank, Inc.",Bruceton Mills,WV
292,Cleveland State Bank,Cleveland,WI
293,Climate First Bank,St. Petersburg,FL
294,Coast360 FCU,Maite,GU
295,"Coastal Area District Development Authority, Inc.",Brunswick,GA
296,Coastal Carolina National Bank,Myrtle Beach,SC
297,Coastal FCU,Raleigh,NC
298,Coastal Heritage Bank,East Weymouth,MA
299,Coastal States Bank,Hilton Head Island,SC
300,Coastal1 Credit Union,Pawtucket,RI
301,Coasthills Federal Credit Union,Santa Maria,CA
302,Cogent Bank,Orlando,FL
303,Collins Community Credit Union,Cedar Rapids,IA
304,"Colonial Savings, F.A.",Fort Worth,TX
305,Colony Bank,Fitzgerald,GA
306,Colorado Enterprise Fund,Denver,CO
307,Columbia Bank,Fair Lawn,NJ
308,Columbia Community CU,Vancouver,WA
309,Comerica Bank,Dallas,TX
310,Commerce Bank,Kansas City,MO
311,CommerceWest Bank,Irvine,CA
312,Commercial Bank & Trust Company,Monticello,AR
313,Commercial Bank of California,Irvine,CA
314,"Commercial Bank of Texas, N.A.",Nacogdoches,TX
315,Common Capital Inc.,Springfield,MA
316,Commonwealth Business Bank,Los Angeles,CA
317,Community 1st CU,Ottumwa,IA
318,Community Bank,Dunlap,IA
319,Community Bank & Trust-West Georgia,Lagrange,GA
320,Community Bank Delaware,Lewes,DE
321,Community Bank and Trust,Neosho,MO
322,Community Bank of Mississippi,Flowood,MS
323,Community Bank of Oelwein,Oelwein,IA
324,Community Bank of Pickens County,Jasper,GA
325,Community Bank of the Bay,Oakland,CA
326,"Community Bank, National Association",Canton,NY
327,Community Banking Company of Fitzgerald,Fitzgerald,GA
328,"Community Banks of Colorado, A Division of",Greenwood Village,CO
329,Community Capital Development Corporation,Dublin,OH
330,Community Capital Resources,Elmsford,NY
331,Community Choice CU,Farmington Hills,MI
332,Community Financial Services Bank,Benton,KY
333,Community First Bank,Boscobel,WI
334,Community First Bank,Kennewick,WA
335,Community First Bank of Indiana,Kokomo,IN
336,Community First Bank of the Heartland,Mount Vernon,IL
337,Community First CU,Neenah,WI
338,Community First Capital Corp,Lancaster,PA
339,Community First National Bank,Manhattan,KS
340,Community Investment Corporation,Hamden,CT
341,Community National Bank,Derby,VT
342,Community National Bank,Seneca,KS
343,Community National Bank & Trust,Chanute,KS
344,Community Partners Savings Bank,Salem,IL
345,Community Resource Bank,Northfield,MN
346,Community Savings Bank,Edgewood,IA
347,Community State Bank,Bradley,AR
348,Community State Bank,Galva,IL
349,Community State Bank,Union Grove,WI
350,"Community Trust Bank, Inc.",Pikeville,KY
351,Community West Bank,Fresno,CA
352,CommunityAmerica CU,Lenexa,KS
353,ConnectOne Bank,Englewood Cliffs,NJ
354,"Connecticut Community Bank, National Association",Norwalk,CT
355,Consumers National Bank,Minerva,OH
356,"Cooperativa de Ahorro y Cr<ac,e>dito de Arecibo (COOPACA)",Arecibo,PR
357,CorTrust Bank National Association,Mitchell,SD
358,Core Bank,Omaha,NE
359,Cornerstone Bank,Worcester,MA
360,Cornerstone Bank,York,NE
361,Cornerstone Community Bank,Red Bluff,CA
362,Cornhusker Bank,Lincoln,NE
363,Corp. Financiamiento Empresarial del Comercio y Comunidades,San Juan,PR
364,Coulee Bank,La Crosse,WI
365,Country Bank for Savings,Ware,MA
366,Country Club Bank,Kansas City,MO
367,County Bank,Brunswick,MO
368,Countybank,Greenwood,SC
369,Covington County Bank,Collins,MS
370,Cowboy Bank,Kremlin,OK
371,Craft Bank,Atlanta,GA
372,Credit Union One,Ferndale,MI
373,Crews Bank and Trust,Wauchula,FL
374,Cross Keys Bank,Saint Joseph,LA
375,Cross River Bank,Teaneck,NJ
376,CrossFirst Bank,Leawood,KS
377,Crossroads Bank,Wabash,IN
378,"Crystal Lake Bank & Trust Company, National Association",Crystal Lake,IL
379,Custer Federal State Bank,Broken Bow,NE
380,Customers Bank,Malvern,PA
381,Cy Fair FCU,Houston,TX
382,Cyprus Federal Credit Union,West Jordan,UT
383,D. L. Evans Bank,Burley,ID
384,DFCU Financial,Dearborn,MI
385,Dacotah Bank,Aberdeen,SD
386,Dean Co-Operative Bank,Franklin,MA
387,Decatur County Bank,Decaturville,TN
388,Dedham Institution for Savings,Dedham,MA
389,Denver Savings Bank,Denver,IA
390,Devon Bank,Chicago,IL
391,Dime Community Bank,Bridgehampton,NY
392,Diversified Members CU,Detroit,MI
393,Dogwood State Bank,Raleigh,NC
394,Dominion Bank,Dallas,TX
395,Dort Financial CU,Grand Blanc,MI
396,Drake Bank,Saint Paul,MN
397,Dream First Bank National Association,Syracuse,KS
398,DreamSpring,Albuquerque,NM
399,Dundee Bank,Omaha,NE
400,ESL FCU,Rochester,NY
401,Eagle Rock Bank,Rochester,MN
402,EagleBank,Bethesda,MD
403,East West Bank,Pasadena,CA
404,EastRise Federal Credit Union,Williston,VT
405,Eastern Bank,Boston,MA
406,Eaton Community Bank,Charlotte,MI
407,Eclipse Bank Inc,Louisville,KY
408,Economic Development Bank for Puerto Rico,N Juan                      Pr,0
409,Economic and Community Development Institute,Columbus,OH
410,Educators CU,Mount Pleasant,WI
411,Elevate Bank National Association,Sedan,KS
412,Elgin State Bank,Elgin,IA
413,Embassy National Bank,Lawrenceville,GA
414,Empire State Bank,Newburgh,NY
415,Emprise Bank,Wichita,KS
416,Encore Bank,Little Rock,AR
417,Endeavor Bank,San Diego,CA
418,Ent CU,Colorado Springs,CO
419,Enterprise Bank,Allison Park,PA
420,Enterprise Bank & Trust,Clayton,MO
421,Enterprise Bank and Trust Company,Lowell,MA
422,EntreBank,Bloomington,MN
423,Equity Bank,Andover,KS
424,Ergo Bank,Markesan,WI
425,Essential Credit Union,Baton Rouge,LA
426,Essex Savings Bank,Essex,CT
427,"Evans Bank, National Association",Angola,NY
428,EverTrust Bank,City Of Industry,CA
429,Everwise Credit Union,South Bend,IN
430,Evolve Bank and Trust,West Memphis,AR
431,Excelsior Growth Fund is the CDFI affilitiate of NYBDC Local,Albany,NY
432,Exchange Bank,Milledgeville,GA
433,Exchange Bank,Santa Rosa,CA
434,Exos Small Business Lending LLC,New York,NY
435,FCNB Bank,Steelville,MO
436,FFB Bank,Fresno,CA
437,FMS Bank,Fort Morgan,CO
438,FNB Bank,Goodland,KS
439,"FNB Bank, Inc.",Romney,WV
440,FNBC Bank,Ash Flat,AR
441,FNBC Bank and Trust,La Grange,IL
442,FWBank,Chicago,IL
443,Fairfax State Savings Bank,Fairfax,IA
444,Fairfield County Bank,Ridgefield,CT
445,Falcon National Bank,Foley,MN
446,Fall River Five Cents Savings Bank d/b/a BankFive,Fall River,MA
447,Farmers & Merchants Bank & Trust,Marinette,WI
448,Farmers & Merchants Bank of Long Beach,Long Beach,CA
449,Farmers & Merchants Savings Bank,Manchester,IA
450,Farmers Bank & Trust,Great Bend,KS
451,Farmers State Bank,Marion,IA
452,Farmers State Bank,Victor,MT
453,Farmers State Bank,Waterloo,IA
454,"Farmers State Bank of Alto Pass, Illinois",Alto Pass,IL
455,Farmers and Merchants Bank,Lakeland,GA
456,Farmers and Merchants Bank,Laotto,IN
457,Fidelity Bank,Mandeville,LA
458,"Fidelity Bank, National Association",Wichita,KS
459,Fidelity Co-Operative Bank,Leominster,MA
460,Fidelity Deposit and Discount Bank,Dunmore,PA
461,Field & Main Bank,Henderson,KY
462,Fifth Third Bank,Cincinnati,OH
463,FinWise Bank,Sandy,UT
464,Financial Plus CU,Flint,MI
465,Financial Resources FCU,Bridgewater,NJ
466,FirsTier Bank,Kimball,NE
467,First American Bank,Artesia,NM
468,First American Bank,Elk Grove Village,IL
469,First Bank,Clewiston,FL
470,First Bank,Hamilton,NJ
471,First Bank,Mccomb,MS
472,First Bank,Southern Pines,NC
473,First Bank,Waverly,IA
474,First Bank & Trust,Brookings,SD
475,First Bank Richmond,Richmond,IN
476,First Bank and Trust Co,Duncan,OK
477,First Bank of Central Ohio,Worthington,OH
478,First Bank of Owasso,Owasso,OK
479,First Bank of the Lake,Osage Beach,MO
480,"First Bankers Trust Company, National Association",Quincy,IL
481,First Business Bank,Madison,WI
482,First Central Savings Bank,Glen Cove,NY
483,First Chatham Bank,Savannah,GA
484,First Children's Finance,Minneapolis,MN
485,First Citizens Bank,Mason City,IA
486,First Citizens Community Bank,Mansfield,PA
487,First Citizens State Bank,Whitewater,WI
488,First Command Bank,Fort Worth,TX
489,First Commerce Bank,Lakewood,NJ
490,First Commercial Bank (USA),Alhambra,CA
491,First Commonwealth Bank,Indiana,PA
492,First Commonwealth FCU,Allentown,PA
493,First Community Bank,Batesville,AR
494,First Community Bank,Bluefield,VA
495,First Community CU,Chesterfield,MO
496,First Dakota National Bank,Yankton,SD
497,First Eagle Bank,Chicago,IL
498,First Enterprise Bank,Oklahoma City,OK
499,First Farmers and Merchants Bank,Columbia,TN
500,First Fed Bank,Port Angeles,WA
501,First Federal Bank,Lake City,FL
502,First Federal Community Bank National Association,Dover,OH
503,First Federal Savings & Loan Association of Lakewood,Lakewood,OH
504,First Federal Savings Bank,Evansville,IN
505,First Federal Savings Bank,Huntington,IN
506,First Federal Savings Bank of Twin Falls,Twin Falls,ID
507,First Fidelity Bank,Oklahoma City,OK
508,First Financial Bank,Abilene,TX
509,First Financial Bank,Cincinnati,OH
510,First Financial Bank,El Dorado,AR
511,"First Financial Bank, National Association",Terre Haute,IN
512,First Foundation Bank,Irvine,CA
513,First General Bank,Rowland Heights,CA
514,First Guaranty Bank,Hammond,LA
515,First Harrison Bank,Corydon,IN
516,First Hawaiian Bank,Honolulu,HI
517,First Heritage Bank,Centralia,KS
518,First Heritage Federal Credit Union,Corning,NY
519,First Horizon Bank,Memphis,TN
520,First IC Bank,Doraville,GA
521,First Independent Bank,Aurora,MO
522,First Internet Bank of Indiana,Fishers,IN
523,First Interstate Bank,Billings,MT
524,First Merchants Bank,Indianapolis,IN
525,"First Mid Bank & Trust, National Association",Mattoon,IL
526,First Midwest Bank of the Ozarks,Poplar Bluff,MO
527,"First Montana Bank, Inc.",Missoula,MT
528,First National Bank,Alamogordo,NM
529,First National Bank,Damariscotta,ME
530,First National Bank,Fort Pierre,SD
531,First National Bank,Oldham,SD
532,First National Bank & Trust Co,Iron Mountain,MI
533,First National Bank Alaska,Anchorage,AK
534,"First National Bank Ames, Iowa",Ames,IA
535,First National Bank of Coffee County,Douglas,GA
536,First National Bank of Michigan,Kalamazoo,MI
537,First National Bank of Oklahoma,Oklahoma City,OK
538,First National Bank of Omaha,Omaha,NE
539,First National Bank of Pana,Pana,IL
540,First National Bank of Pennsylvania,Greenville,PA
541,"First National Bank, Cortez",Cortez,CO
542,First National Community Bank,Chatsworth,GA
543,First National Community Bank,New Richmond,WI
544,First Northern Bank of Wyoming,Buffalo,WY
545,First Oklahoma Bank,Jenks,OK
546,First Pacific Bank,Whittier,CA
547,First Port City Bank,Bainbridge,GA
548,First Pryority Bank,Pryor,OK
549,First Resource Bank,Exton,PA
550,First Resource Bank,Lino Lakes,MN
551,First Savings Bank,Beresford,SD
552,First Savings Bank,Jeffersonville,IN
553,First Seacoast Bank,Dover,NH
554,First Security Bank,Byron,MN
555,First Security Bank,Searcy,AR
556,First Security Bank & Trust Company,Charles City,IA
557,First Security Bank and Trust Company,Oklahoma City,OK
558,First Service Bank,Greenbrier,AR
559,First Service Credit Union,Houston,TX
560,First Southern Bank,Waycross,GA
561,First Southwest Bank,Alamosa,CO
562,First State Bank,Buxton,ND
563,First State Bank,Clute,TX
564,First State Bank,Eastpointe,MI
565,First State Bank,Junction,TX
566,First State Bank,New London,WI
567,First State Bank,Shallowater,TX
568,First State Bank,Waynesboro,MS
569,First State Bank Nebraska,Lincoln,NE
570,First State Bank and Trust,Bayport,MN
571,First State Bank and Trust,Tonganoxie,KS
572,First State Bank and Trust Company Inc,Caruthersville,MO
573,First State Bank of Forsyth,Forsyth,MT
574,First State Bank of Le Center,Le Center,MN
575,First State Bank of Middlebury,Middlebury,IN
576,First U.S. Community CU,Sacramento,CA
577,First United Bank,Dimmitt,TX
578,First United Bank,Park River,ND
579,First United Bank and Trust Company,Durant,OK
580,First Utah Bank,Salt Lake City,UT
581,First Western Bank & Trust,Minot,ND
582,"First Western SBLC, Inc",Dallas,TX
583,First Western Trust Bank,Denver,CO
584,First-Citizens Bank & Trust Company,Raleigh,NC
585,FirstBank,Lakewood,CO
586,FirstBank Puerto Rico,Santurce,PR
587,Firstrust Savings Bank,Conshohocken,PA
588,Five Star Bank,Rancho Cordova,CA
589,Five Star Bank,Warsaw,NY
590,Flagship Bank,Clearwater,FL
591,"Flagship Enterprise Center, Inc. (dba Bankable)",Anderson,IN
592,Flagstar Bank National Association,Hicksville,NY
593,Flint Community Bank,Albany,GA
594,Florence Bank,Florence,MA
595,"Florida Capital Bank, National Association",Jacksonville,FL
596,"Florida First Capital Finance Corporation, Inc.",Tallahassee,FL
597,Flushing Bank,Uniondale,NY
598,"Forcht Bank, National Association",Lexington,KY
599,Foresight Bank,Plainview,MN
600,Fortifi Bank,Berlin,WI
601,Fortis Bank,Denver,CO
602,Fortress Bank,Peoria,IL
603,Forward Bank,Marshfield,WI
604,Fox Communities CU,Appleton,WI
605,Frandsen Bank & Trust,Lonsdale,MN
606,Frankenmuth CU,Frankenmuth,MI
607,Franklin Savings Bank,Farmington,ME
608,Freedom Bank,Columbia Falls,MT
609,Freedom Financial Bank,West Des Moines,IA
610,Fremont Bank,Fremont,CA
611,Frontier Bank,Omaha,NE
612,Frontier Bank of Texas,Elgin,TX
613,Frost Bank,San Antonio,TX
614,"Fulton Bank, National Association",Lancaster,PA
615,"Fund-Ex Solutions Group, LLC",Davie,FL
616,Fusion Bank,Larned,KS
617,GBC International Bank,Los Angeles,CA
618,GBank,Las Vegas,NV
619,GECU,El Paso,TX
620,GTE FCU d/b/a GTE Financial,Tampa,FL
621,Gainey Business Bank,Scottsdale,AZ
622,Gateway First Bank,Jenks,OK
623,Gather FCU,Lihue,HI
624,Genesee Regional Bank,Rochester,NY
625,Genisys CU,Auburn Hills,MI
626,Georgia Community Bank,Albany,GA
627,Georgia Primary Bank,Atlanta,GA
628,Georgia's Own Credit Union,Atlanta,GA
629,German American Bank,Jasper,IN
630,Gesa CU,Richland,WA
631,Gibsland Bank & Trust Company,Gibsland,LA
632,Glacier Bank,Kalispell,MT
633,Glens Falls National Bank and Trust Company,Glens Falls,NY
634,Glenwood State Bank Incorporated,Glenwood,MN
635,Global Federal Credit Union,Anchorage,AK
636,Global One Bank,Houston,TX
637,"Golden Bank, National Association",Houston,TX
638,Gorham Savings Bank,Gorham,ME
639,Grand Ridge National Bank,Wheaton,IL
640,Grand River Bank,Grandville,MI
641,Granite Bank,Cold Spring,MN
642,Granite FCU,Salt Lake City,UT
643,Grasshopper Bank National Association,New York,NY
644,Great American Bank,Lawrence,KS
645,Great Plains National Bank,Elk City,OK
646,Great Plains State Bank,Petersburg,NE
647,Great Southern Bank,Springfield,MO
648,Greater State Bank,Mcallen,TX
649,Green Belt Bank & Trust,Iowa Falls,IA
650,Greylock FCU,Pittsfield,MA
651,"Grow America Fund, Incorporated",New York,NY
652,Growth Capital Corp.,Cleveland,OH
653,Guaranty Bank,Springfield,MO
654,Guaranty Bank & Trust Company,Belzoni,MS
655,"Guaranty Bank & Trust, National Association",Mount Pleasant,TX
656,Gulf Coast Bank,Abbeville,LA
657,Gulf Coast Bank and Trust Company,New Orleans,LA
658,Gulf Coast Business Bank,Fort Myers,FL
659,Gulfside Bank,P.O. Box 1824,FL
660,Guthrie County State Bank,Panora,IA
661,HOMEBANK,Palmyra,MO
662,HTLF Bank,Denver,CO
663,Haddon Savings Bank,Haddon Heights,NJ
664,Hancock Whitney Bank,Gulfport,MS
